"date","link","text_ch","text_en","uid"
"2020-01-22","http://wjw.shanxi.gov.cn:80/wjywl02/24320.hrh","张晓清看望委机关离退休老干部","Zhang Xiaoqing visits retired veteran cadres","2020_01_22_en_ba32a670_4449_11ea_925e_5f121fde4e57.html"
"2020-01-22","http://wjw.shanxi.gov.cn:80/wjywl02/24313.hrh","ﾓ健康山西 科学减盐 幸福过大年ﾔ科普宣传活动启动","￢ﾀﾜHealthy Shanxi Science Reduces Salt, Happy New Year￢ﾀﾝ Science Popularization Campaign Launched","2020_01_22_en_c1e1be06_4449_11ea_925e_5f121fde4e57.html"
"2020-01-22","http://wjw.shanxi.gov.cn:80/wjywl02/24321.hrh","国家卫生健康委确认我省首例新型冠状病毒感染的肺炎确诊病例","National Health and Health Commission confirms the first confirmed case of pneumonia in our province","2020_01_22_en_b2b19988_4449_11ea_925e_5f121fde4e57.html"
"2020-01-23","http://wjw.shanxi.gov.cn:80/wjywl02/24328.hrh","山西省新型冠状病毒感染的肺炎疫情通报(2020年1月23日)","Notification of pneumonia outbreak of new coronavirus infection in Shanxi Province (January 23, 2020)","2020_01_23_en_ab5b1786_4449_11ea_925e_5f121fde4e57.html"
"2020-01-24","http://wjw.shanxi.gov.cn:80/wjywl02/24330.hrh","倡   议 书","Proposal","2020_01_24_en_7e0e89fc_4449_11ea_925e_5f121fde4e57.html"
"2020-01-24","http://wjw.shanxi.gov.cn:80/wjywl02/24329.hrh","省卫生健康委组织召开山西白求恩医院  山西医学科学院五年发展规划编制研讨会","Provincial Health and Health Committee organized a seminar on the preparation of the five-year development plan of Shanxi Bethune Hospital and Shanxi Academy of Medical Sciences","2020_01_24_en_a685ec2c_4449_11ea_925e_5f121fde4e57.html"
"2020-01-25","http://wjw.shanxi.gov.cn:80/wjywl02/24339.hrh","山西省启动重大突发公共卫生事件一级响应","Shanxi Province initiates first-level response to major public health emergencies","2020_01_25_en_745116e6_4449_11ea_925e_5f121fde4e57.html"
"2020-01-25","http://wjw.shanxi.gov.cn:80/wjywl02/24334.hrh","(2020年1月25日)山西省新型冠状病毒感染的肺炎疫情情况","(January 25, 2020) Epidemic Situation of New Coronavirus Infection in Shanxi Province","2020_01_25_en_79065782_4449_11ea_925e_5f121fde4e57.html"
"2020-01-26","http://wjw.shanxi.gov.cn:80/wjywl02/24349.hrh","(2020年1月26日)山西省新型冠状病毒感染的肺炎疫情情况","(January 26, 2020) Epidemic Situation of New Coronavirus Infection in Shanxi Province","2020_01_26_en_70129c1c_4449_11ea_925e_5f121fde4e57.html"
"2020-01-27","http://wjw.shanxi.gov.cn:80/wjywl02/24356.hrh","(2020年1月27日)山西省新型冠状病毒感染的肺炎疫情情况","(January 27, 2020) Epidemic Situation of New Coronavirus Infection in Shanxi Province","2020_01_27_en_6def96c4_4449_11ea_925e_5f121fde4e57.html"
